/*
// 注釋/例句
繁簡轉換前誤	正
// 《烂柯棋缘》	又有的四散游开， (~游<role.type:ARGM-DIS>又 ~游<role.type:A0>有的 ~游<role.type:ARGM-ADV>四散 d:又+r:有的+d:四散+v:游+v:开+wp:，)
四散游开	四散游開
// 《剑仙三千万》	仗剑游星海都不成问题。 (~游<SBV>d:不成问题 ~游<role.type:ARGM-LOC>星海 v:仗剑+v:游+n:星+n:海+d:都+d:不成问题+wp:。)
游星海	游星海
// 《烂柯棋缘》	但一般那种时候都是细若游丝， (~若游絲<CMP>a:细 c:但+a:一般+r:那种+n:时候+d:都+v:是+a:细+v:若游丝+wp:，)
若游丝	若游絲
// 《大奉打更人》	慢慢游回去吧。 (~游<role.type:ARGM-ADV>慢慢 d:慢慢+v:游+v:回去+u:吧+wp:。)
慢游回去	慢游回去
// 《詩經．小雅．采菽》：「優哉游哉，亦是戾矣。」
优哉游哉	優哉游哉
// http://www.jiaodui.com/bbs/read.php?tid=22971
// 《汉语大词典》“游勇”、“遊勇”均收，但“散兵 yóu 勇”作“散兵游勇”：
// 毛泽东《中国人民解放军布告》：为着确保城乡治安、安定社会秩序的目的，一切散兵游勇，...
散兵游勇	散兵游勇
// cf. 遊騎兵
// 《剑仙三千万》	原本还剩三百余人的游兵散勇， (d:原本+d:还+v:剩+m:三百+m:余+n:人+u:的+n:游兵+a:散+n:勇+wp:，)
游兵散勇	游兵散勇
// 《烂柯棋缘》	一会我们缓速慢游收敛气息， (~緩速慢游<COO>v:有 nt:一会+r:我们+d:缓速慢游+v:收敛+n:气息+wp:，) (~游<COO>v:缓速 ~游<role.type:ARGM-TMP>一会 ~游<role.type:A0>我们 ~游<role.type:ARGM-ADV>慢 m:一会+r:我们+v:缓速+a:慢+v:游+v:收敛+n:气息+wp:，)
慢游收敛气息	慢游收斂氣息

游移	游移
游移不决	游移不決
游移不定	游移不定

// 《烂柯棋缘》	而且正好可以顺路去游一游那通天江， (c:而且+z:正好+v:可以+d:顺路+v:去+v:游+m:一+v:游+r:那+ns:通天江+wp:，)
// 《烂柯棋缘》	游一游天道峰顶， (~遊<role.type:A1>天道峰顶 v:游+m:一+v:游+ns:天道+n:峰顶+wp:，)
游一游	遊一遊
// 《大奉打更人》	人家游湖游了一个来回， (~遊<COO>v:游 ~遊<role.type:A0>人家 ~遊<role.type:ARGM-EXT>一个来回 r:人家+v:游+n:湖+v:游+u:了+m:一个+n:来回+wp:，)
游湖游了	遊湖遊了
// 《随波逐流之一代军师》	最多士子游人， (d:最+a:多+n:士子+n:游人)
士子游人	士子遊人


// ~征
// 《平平无奇大师兄》	各大魔尊互相征杀， (r:各+a:大+n:魔尊+d:互相+v:征杀)
征杀	征殺
// 《中国历史那些事儿系列套装》	他手握五千步兵，仍然勇征匈奴。 (~征<COO>v:握 ~征<role.type:A0>他 ~征<role.type:ARGM-ADV>仍然 ~征<role.type:ARGM-ADV>勇 ~征<role.type:A1>匈奴 r:他+n:手+v:握+m:五千+n:步兵+wp:，+d:仍然+a:勇+v:征+n:匈奴+wp:。)
勇征	勇征
// 《我师兄实在太稳健了》	是否可想个办法，让圣人不参与圣人弟子之征伐？ (~征伐<VOB>v:参与 v:是否+v:可+v:想+q:个+n:办法+wp:，+v:让+n:圣人+d:不+v:参与+n:圣人+n:弟子+u:之+v:征伐+wp:？)
之征伐	之征伐
// 《一品修仙》	而后重新征伐夺回疆域， (c:而后+d:重新+v:征伐+v:夺+v:回+n:疆域+wp:，)
新征伐	新征伐
// 《苍青之剑》	我们重新征服西西里岛就绝无任何障碍了。 (~征服<SBV>v:无 ~征服<role.type:A0>我们 ~征服<role.type:ARGM-ADV>重新 ~征服<role.type:A1>西西里岛 r:我们+d:重新+v:征服+ns:西西里岛+d:就+d:绝+v:无+r:任何+n:障碍+u:了+wp:。)
新征服	新征服
// 《剑仙三千万》	就有征服一个低阶文明的力量， (~征服<ATT>n:力量 ~征服<role.type:A1>一个低阶文明 d:就+v:有+v:征服+m:一个+b:低阶+n:文明+u:的+n:力量+wp:，)
有征服	有征服
// 《剑仙三千万》	就能将这颗星辰文明征服， (~征服<role.type:ARGM-ADV>就 d:就+v:能+p:将+r:这+q:颗+n:星辰+n:文明+v:征服+wp:，)
明征服	明征服
// 《剑仙三千万》	被九大势力征召去前线对抗凶魔星九死一生， (~徵召<role.type:A0>九大势力 p:被+m:九+a:大+n:势力+v:征召+v:去+nl:前线+v:对抗+n:凶魔星+i:九死一生+wp:，)
力征召	力徵召
// fix "在出"
// 《中国历史那些事儿系列套装》	要知道在出征北汉的前夕， (v:要+v:知道+p:在+v:出征北汉+u:的+nd:前夕)
在出征	在出征
// 《请不要打扰我修仙》	免得还要给出征费。 (~出征費<VOB>v:给 v:免得+v:还要+v:给+n:出征费+wp:。)
给出征	給出征
// 《剑徒之路》	自出征日算起。 (~出征日<POB>p:自 p:自+n:出征日+v:算+v:起+wp:。)
自出征	自出征
// 《这个世界过于危险》	(n:事实上+r:她+v:到+nt:现在+d:也+v:想+d:不+v:出+n:征西派+v:背刺+r:他们+u:的+n:理由+wp:，)
征西派	征西派
// 解析錯誤 @ 《剑仙三千万》	秦林叶东征西战， (i:东+v:征西战) (nh:秦林叶+nd:东+v:征西战)
征西战	征西戰
// 《中国历史那些事儿系列套装》	被中央重新任命为征西校尉。 (~征西<ATT>n:校尉 p:被+n:中央+d:重新+v:任命+v:为+v:征西+n:校尉+wp:。)
征西校尉	征西校尉
// 《中国历史那些事儿系列套装》	包括来歙等征西将军， (~征<ATT>n:将军 v:包括+nh:来歙+u:等+v:征+j:西+n:将军+wp:，)
征西将军	征西將軍
// 《中国历史那些事儿系列套装》	征西大将军冯异， (~征<ATT>n:大将军 ~征<role.type:A1>西 v:征+j:西+n:大将军+nh:冯异+wp:，)
征西大将军	征西大將軍
// 《中国历史那些事儿系列套装》	贰师将军赵广利征西域时， (~征<ATT>n:时 ~征<role.type:A0>贰师将军赵广利 ~征<role.type:A1>西域 m:贰+n:师+n:将军+nh:赵广利+v:征+n:西域+n:时+wp:，)
征西域	征西域
// 解析錯誤 @ 《大奉打更人》	(nh:魏渊+m:首+q:次+v:出+ns:征北境+n:时+wp:，)
征北境	征北境
// 解析錯誤 @ 《中国历史那些事儿系列套装》	当李世民还在南征北战时， (d:还+p:在+nd:南+v:征北战+n:时)	依然可以南征北战； (v:可以+nd:南+v:征北战)
征北战	征北戰
// 解析錯誤 @ 《烂柯棋缘》	征北军看起来好厉害啊！ (n:征北军)
征北军	征北軍
// 《覆汉》	桓桓向南征。 (~征<COO>v:发 ~征<role.type:A0>桓桓 ~征<role.type:ARGM-DIR>向南 nh:桓桓+p:向+nd:南+v:征+wp:。)
向南征	向南征
// 《中国历史那些事儿系列套装》	不久李君羡和征南将军田留安也率领部众打包投奔了李世民。 (~征南<ATT>n:将军 m:不久+nh:李君羡+c:和+v:征南+n:将军+nh:田留安+d:也+v:率领+n:部众+v:打包+v:投奔+u:了+nh:李世民+wp:。)
征南将军	征南將軍
// 《中国历史那些事儿系列套装》	仅看“征南大将军”这几个字， (~征南<ATT>n:大将军 d:仅+v:看+wp:“+v:征南+n:大将军+wp:”+r:这+m:几+q:个+n:字+wp:，)
// 《中国历史那些事儿系列套装》	征南大将军岑彭说了算。 (~征南<ATT>n:大将军 v:征南+n:大将军+nh:岑彭+i:说了算+wp:。)
征南大将军	征南大將軍
// 《中国历史那些事儿系列套装》	征辽亦偶然。 (~征<SBV>a:偶然 ~征<role.type:A1>辽 v:征+j:辽+d:亦+a:偶然+wp:。)
// 《中国历史那些事儿系列套装》	征辽将领基本都受处分， (~征<ATT>n:将领 ~征<role.type:A1>辽 v:征+j:辽+n:将领+a:基本+d:都+v:受+v:处分+wp:，)
征辽	征遼
// 《中国历史那些事儿系列套装》	此六大将军，全都是久经沙场，能征善打者。 (~征善打<COO>i:久经沙场 ~征善打<role.type:A0>者 r:此+m:六+a:大将军+wp:，+d:全都+v:是+i:久经沙场+wp:，+i:能+v:征善打+k:者+wp:。)
能征善	能征善
// 《中国历史那些事儿系列套装》	率军再征！ (~征<COO>v:率 ~征<role.type:ARGM-ADV>再 v:率+n:军+d:再+v:征+wp:！)
// 《中国历史那些事儿系列套装》	齐王李元吉率军再征刘黑闼， (~征<COO>v:率 ~征<role.type:A0>齐王李元吉 ~征<role.type:ARGM-ADV>再 ~征<role.type:A1>刘黑闼 n:齐王+nh:李元吉+v:率+n:军+d:再+v:征+nh:刘黑闼+wp:，)
军再征	軍再征


// [[南開大學]]
复校	復校
// 《儒林外史》第三回：「我復命之後，在京專候。」
复命	復命
//	(v:复盘)
// 解析錯誤 @ 《亏成首富从游戏开始》	选手们正在赛后复盘， (~復盤<POB>p:在 n:选手+k:们+d:正+p:在+nt:赛后+n:复盘)
复盘	復盤
// 《我的一天有48小时》	因为估计大门外的摄像头已经被复位，张恒没有再选择之前的路线离开， (~復位<VOB>v:估计 c:因为+v:估计+n:大门+nd:外+u:的+n:摄像头+d:已经+p:被+v:复位+wp:，+nh:张恒+d:没有+d:再+v:选择+nd:之前+u:的+n:路线+v:离开+wp:，)
被复位	被復位
// 《剑仙三千万》	你们就是玄黄星文明复兴的种子！ (~復興<ATT>n:种子 ~復興<role.type:A1-PSR>玄黄星 ~復興<role.type:A1-PSE>文明 r:你们+d:就+v:是+n:玄黄星+n:文明+v:复兴+u:的+n:种子+wp:！)
明复兴	明復興

更复杂	更複雜
不复杂	不複雜
// 《黎明之剑》	进行复杂度不高的重复操作。 (~複雜度<SBV>a:高 v:进行+n:复杂度+d:不+a:高+u:的+v:重复+v:操作+wp:。)
行复杂	行複雜
// 《我师兄实在太稳健了》	拥有者可强行复制任一其他参与者本轮收益。 (n:拥有者+v:可+d:强行+v:复制+r:任一+r:其他+n:参与者+r:本轮+n:收益)
行复制	行複製
// 《黎明之剑》	我们应该考虑进行复数的连接了。 (~複數<ATT>v:连接 r:我们+v:应该+v:考虑+v:进行+n:复数+u:的+v:连接+u:了+wp:。)
行复数	行複數
// 《玩家超正义》	能够聚拢起复数的黄金阶超凡者的…… (~複數<VOB>v:聚拢 v:能够+v:聚拢+v:起+n:复数+u:的+n:黄金阶+n:超凡者+u:的+wp:……)
起复数	起複數
// 《黎明之剑》	再加上复数通讯平台形成的阵列效应。 (~複數<ATT>n:通讯 d:再+v:加上+n:复数+n:通讯+n:平台+v:形成+u:的+n:阵列+n:效应+wp:。)
上复数	上複數
// fix "布复"
// 解析錯誤 @ 《超神机械师》	(nd:上面+v:遍布复杂+u:的+n:花纹+wp:，)
遍布复杂的	遍布複雜的
// fix "后重"
// 解析錯誤 @ 《我的一天有48小时》	(nd:之+nd:后重复+nd:之前+u:的+v:按+n:压+v:动作+wp:，)
后重复	後重複
// fix "并重"
// 《中国历史那些事儿系列套装》	刘娥只是在恢复并重复她丈夫赵恒在澶 (v:恢复+c:并+v:重复)
并重复	並重複
// fix "面重"
// 《惊悚乐园》	】帮觉哥恢复数据了， (~恢複<VOB>v:帮 ~恢複<role.type:A1>自己遭到破坏 ~恢複<role.type:A0>觉哥 ~恢複<role.type:A1>数据 wp:】+v:帮+nh:觉哥+v:恢复+n:数据+u:了+wp:，)
面重复	面重複

// 《莊子·徐無鬼》	聖人并包天地，澤及天下，而不知其誰氏。
并包	并包
// 《中国历史那些事儿系列套装》	攻打并州的主将是刘武周新招募的宋金刚， (~并州<VOB>v:攻打 v:攻打+ns:并州+u:的+n:主将+v:是+nh:刘武周+d:新+v:招募+u:的+nh:宋金刚+wp:，)
打并州	打并州
// 《中国历史那些事儿系列套装》	直逼并州！ (~并州<VOB>v:逼 d:直+v:逼+ns:并州+wp:！)
逼并州	逼并州
// 《史記．卷一一七．司馬相如傳》：「故馳騖乎兼容并包，而勤思乎參天貳地。」
兼容并包	兼容并包
// 《第一序列》	那就必须坚持兼容并蓄的主张， (~兼容並蓄<ATT>n:主张 c:那+d:就+d:必须+v:坚持+i:兼容并蓄+u:的+n:主张+wp:，)
兼容并蓄	兼容並蓄
// 宋．朱熹〈己酉擬上封事〉：「小人進則君子必退，君子親則小人必疏，未有可以兼收並蓄而不相害者也。」
兼收并蓄	兼收並蓄
// 《重編國語辭典修訂本》
兼筹并顾	兼籌並顧

并州	并州
并州剪	并州剪
并州故乡	并州故鄉

// 《神国之上》	他们应会再度品尝到恐惧的滋味，并为之战栗。
并为之	並為之
// 《我师兄实在太稳健了》	担心自己被卷入量劫，并为此奋不顾身的筹谋、算计， (~並<ADV>v:筹谋 v:担心+r:自己+p:被+v:卷入+n:量劫+wp:，+c:并+d:为此+i:奋不顾身+u:的+v:筹谋+wp:、+v:算计+wp:，)
并为此	並為此
// 《我师兄实在太稳健了》	并成功‘试验’出了包括神仙醉、软仙散在内的‘主战’迷药…… (c:并+a:成功)
并成功	並成功
// 《烂柯棋缘》	也能领悟真意并兼顾滋神养神奇效。 (~並<ADV>v:兼顾 d:也+v:能+v:领悟+n:真意+c:并+v:兼顾+v:滋+n:神+v:养+a:神奇+n:效+wp:。)
并兼顾	並兼顧
// 《烂柯棋缘》	恶魇缠身并发作之下， (~並<ADV>v:发作 a:恶魇+v:缠身+c:并+v:发作+u:之下+wp:，)
并发作	並發作
// 《烂柯棋缘》	做完这一切才离开山神庙并合上庙门离去。 (~並<ADV>v:合 v:做+v:完+r:这+r:一切+d:才+v:离开+n:山神庙+c:并+v:合+v:上+n:庙门+v:离去+wp:。)
并合上	並合上
// 《咫尺之间人尽敌国》	并购换了一套原本应该是属于阴影之主的黯玄神甲， (v:并购+v:换+u:了+m:一+q:套+d:原本+v:应该+v:是+v:属于+n:阴影+u:之+n:主+u:的+nz:黯玄神+n:甲+wp:，)
并购换了	並購換了


// 《从红月开始》	陆辛脸上几乎浮现了一个带圈脸胡的懵逼表情， (~鬍<ATT>n:表情 nh:陆辛+nl:脸上+d:几乎+v:浮现+u:了+m:一个+v:带+n:圈+n:脸+nh:胡+u:的+v:懵逼+n:表情+wp:，)
圈脸胡	圈臉鬍

// 《宋朝游历指南》	珠翠须掠、 (~鬚<ADV>v:掠 n:珠翠+d:须+v:掠+wp:、)
须掠	鬚掠
// 《玩家超正义》	六条须肢不安的颤动蛛网。 (~鬚肢<ATT>n:蛛网 m:六+q:条+n:须肢+a:不安+u:的+v:颤动+n:蛛网+wp:。)
须肢	鬚肢
// 解析錯誤 @ 《我的一天有48小时》	那副纹身画的是一个身材健硕拥有长胡须的男人， (~長鬍鬚<parent.relate:LINK>v:拥有 v:拥有+a:长胡须+u:的+n:男人)
长胡须	長鬍鬚
// 《我师兄实在太稳健了》	还没蓄胡须的他， (~鬍鬚<VOB>v:蓄 d:还+d:没+v:蓄+n:胡须+u:的+r:他+wp:，)
蓄胡须	蓄鬍鬚
// 《我在幕后调教大佬》	而贺鸿畅则是蓄了须， (~鬚<VOB>v:蓄 c:而+nh:贺鸿畅+d:则+v:是+v:蓄+u:了+n:须+wp:，)
蓄了须	蓄了鬚
// 《第一序列》	却听神算子捋了捋胡须笑道： (~鬍鬚<VOB>v:捋 d:却+v:听+n:神算子+v:捋+u:了+v:捋+n:胡须+v:笑+v:道+wp:：)
// 《第一序列》	神算子这捋胡须且带着神秘微笑的样子， (~鬍鬚<VOB>v:捋 n:神算子+r:这+v:捋+n:胡须+c:且+v:带+u:着+a:神秘+v:微笑+u:的+n:样子+wp:，)
// 《第一序列》	这会儿大忽悠捋了捋胡须笑道： (~鬍鬚<VOB>v:捋 r:这会儿+d:大忽悠+v:捋+u:了+v:捋+n:胡须+v:笑+v:道+wp:：)
捋胡须	捋鬍鬚
// 解析錯誤 @ 《烂柯棋缘》	不由摩挲着下巴上短而散乱的花白胡须道。 (n:花+a:白胡须道)
白胡须	白鬍鬚
// 解析錯誤 @ 《我师兄实在太稳健了》	这位留着两撇胡须， (~鬍鬚<VOB>v:留 ~鬍鬚<←ATT>q:撇 v:留+u:着+m:两+q:撇+n:胡须) (v:留+u:着+m:两+v:撇胡+d:须)
两撇胡须	兩撇鬍鬚
// 解析錯誤 @ 《我师兄实在太稳健了》	一只羊蹄抚着山羊胡须。 (n:山羊胡须)
山羊胡须	山羊鬍鬚
// 落腮鬍
// 解析錯誤 @ 《我在幕后调教大佬》	这个有着络腮胡须，以及安宁双目的男子有些遗憾， (v:有着+n:络腮胡须) (v:有着+i:络腮胡须)
络腮胡须	絡腮鬍鬚

// 解析錯誤 @ 《中国历史那些事儿系列套装》	头发须白， (n:头发+d:须+a:白)
头发须	頭髮鬚
// 解析錯誤 @ 《烂柯棋缘》	而且虎身人面耳鬓须长， (~耳鬢鬚<SBV>a:长 n:虎+n:身+n:人面+n:耳鬓须+a:长)
耳鬓须	耳鬢鬚
// 解析錯誤 @ 《我在幕后调教大佬》	今日那老鹿精化作一白发褐须的老翁， (~褐鬚<←ATT>n:白发 n:白发+n:褐须+u:的+n:老翁)
褐须	褐鬚
// 《苍青之剑》	红色的是赤须将军， (~赤鬚<ATT>n:将军 n:红色+u:的+v:是+a:赤须+n:将军+wp:，)
赤须	赤鬚
// 《开局奖励一亿条命》	就见前方缓缓浮现出一名灰须灰袍的枯瘦老者。 (~鬚<ATT>n:老者 d:就+v:见+nd:前方+d:缓缓+v:浮现+v:出+m:一+q:名+a:灰+n:须+n:灰+n:袍+u:的+z:枯瘦+n:老者+wp:。)
灰须灰袍	灰鬚灰袍
// 解析錯誤 @ 《我师兄实在太稳健了》	龙王爷抚须点头， (v:抚须)	赵公明抚须长叹， (nh:赵公明+nh:抚须+v:长+v:叹)	东海龙王抚须轻笑， (nh:东海+nh:龙+nh:王+v:抚+d:须+a:轻+v:笑) (nh:东海龙+nh:王抚须+v:轻+v:笑)	赵公明抚须沉吟， (nh:赵公+v:明抚+d:须+v:沉吟)
// 解析錯誤 @ 《我师兄实在太稳健了》	东海龙王抚须轻笑， (nh:东海+nh:龙+nh:王+v:抚+d:须+a:轻+v:笑) (nh:东海龙+nh:王抚须+v:轻+v:笑)	赵公明抚须沉吟， (nh:赵公+v:明抚+d:须+v:沉吟)
// 解析錯誤 @ 《我在幕后调教大佬》	龙王抚须大笑。 (nh:龙王抚须)
// 解析錯誤 @ 《我在幕后调教大佬》	老人抚须笑道： (~鬚<VOB>v:抚 n:老人+v:抚+nh:须+v:笑+v:道)
// 解析錯誤 @ 《我在幕后调教大佬》	老者抚须道： (n:老者+v:抚+d:须道)
// 解析錯誤 @ 《大奉打更人》	橘猫道长抚须道： (nh:橘猫道+a:长+v:抚须道+wp:：) (n:橘猫+n:道+a:长+ns:抚须道+wp:。)
// 解析錯誤 @ 《烂柯棋缘》	秦子舟抚须道。 (nh:秦子舟+v:抚+d:须道) (nh:秦子舟+v:抚+n:须道)
// 解析錯誤 @ 《烂柯棋缘》	抚须间对自己的作品甚为满意， (ns:抚须间) (nh:抚须间)
// 解析錯誤 @ 《一品修仙》	陈洁南暗暗点头抚须， (nh:陈洁南+d:暗暗+v:点头抚须)
抚须	撫鬚
// 解析錯誤 @ 《我师兄实在太稳健了》	一阵扶须大笑 (d:还+d:没+v:开始+v:说话+wp:，+d:就+v:开始+m:一阵+v:扶+d:须+d:大+v:笑+wp:……)	(nh:万林筠+d:顿时+v:扶+d:须+c:而+v:笑+wp:。)	扶须沉吟， (v:扶+d:须+v:沉吟+wp:，) (v:扶+d:须+v:沉+v:吟+wp:，)	赤精子扶须问道： (v:扶+r:须+v:问+v:道)
// 解析錯誤 @ 《我师兄实在太稳健了》	抬手想做个扶须的动作，　(~扶鬚<ATT>n:动作 v:想+v:做+q:个+v:扶须+u:的+n:动作)
// 解析錯誤 @ 《我师兄实在太稳健了》	扭头做扶须状。 (v:扭头+v:做+v:扶须状) (v:做+v:扶+n:须状)
扶须	扶鬚
// 解析錯誤 @ 《超神机械师》	并且分出更多细小的树须， (a:细小+u:的+n:树须)
树须	樹鬚
// 解析錯誤 @ 《一品修仙》	髯须满面， (n:髯须+a:满+n:面) (n:髯+d:须+a:满+n:面)
髯须	髯鬚
// 解析錯誤 @ 《烂柯棋缘》	首尾部一端有短短绒须， (z:短短+n:绒须) (z:短短+n:绒+d:须)
绒须	絨鬚
// 解析錯誤 @ 《我的一天有48小时》	谁今天晚上想再来点烤章鱼须？ (v:想+d:再+v:来+q:点+v:烤+n:章鱼须) (v:来+q:点+n:烤章鱼须) (~章魚鬚<parent.relate:PAT>v:烤 v:来+q:点+v:烤+nh:章鱼须)
章鱼须	章魚鬚
// 解析錯誤 @ 《我师兄实在太稳健了》	却见一只金须鳌鱼在上方遨游， (~金鬚鰲魚<SBV>v:遨游 m:一+q:只+n:金须鳌鱼) (m:一+q:只+b:金须鳌+n:鱼)
金须鳌	金鬚鰲
// 《烂柯棋缘》	真是须眉皆长的老龙应宏。 (~鬚眉<SBV>a:长 d:真是+n:须眉+d:皆+a:长+u:的+a:老+nh:龙应宏+wp:。)
是须眉	是鬚眉
// 解析錯誤 @ 《随波逐流之一代军师》	白面微须， (~白面<SBV>n:须 ~白面<parent.relate:EXP>n:须 n:白面+a:微+n:须+wp:，) (a:白面+a:微须) (i:白面微须) (~微鬚<COO>n:长眉 n:白面+n:微须+wp:，) 匹配的條件式: n:白面 → ~白面<ATT>n:/./
白面微须	白面微鬚
// 《我不可能是剑神》	白鬓微须， (a:白+n:鬓+n:微+n:须+wp:，)
白鬓微须	白鬢微鬚
// 《一品修仙》	白发白面的天魔王， (n:白发+n:白面+u:的+n:天+n:魔王)
白发白面	白髮白面
// ** 无+~鬚
// 解析錯誤 @ [general.TW.txt]	《科技想要什麽》	矮小的无须男子。 (~無鬚<ATT>n:男子 a:矮小+u:的+v:无须+n:男子)
无须男	無鬚男
// 《大奉打更人》	无须无眉 (~無鬚<ADV>v:无 d:无须+v:无+n:眉)
无须无眉	無鬚無眉
// 解析錯誤 @ 《一品修仙》	颏下无须， (~鬚<VOB>i:颏下无 i:颏下无+n:须+wp:，) (~鬚<VOB>v:无 wp:颏+nd:下+v:无+n:须+wp:，)
颏下无须	頦下無鬚
// 解析錯誤 @ 《烂柯棋缘》	边上一个净面无须的微胖修士回答。 (m:一个+a:净面+v:无+d:须+u:的+d:微+a:胖+v:修士)
// 解析錯誤 @ 《我师兄实在太稳健了》	这位老前辈净面无须， (a:净面+v:无须) (i:净面无须)	见到一位净面无须、十分温厚的长者—— (a:净+n:面+v:无须)
净面无须	淨面無鬚
// 解析錯誤 @ 《烂柯棋缘》	素面无须不显年岁， (n:素面+v:无须+d:不+v:显+n:年岁) (n:素面+d:无须+d:不+v:显+n:年岁) (a:素面+v:无+d:须) (a:素+n:面+d:无须) (a:素+n:面+d:无+d:须)
素面无须	素面無鬚
// 解析錯誤 @ 《我在幕后调教大佬》	双角无须， (m:双+n:角+v:无+n:须) (m:双角+v:无+d:须+wp:，)
双角无须	雙角無鬚
// 解析錯誤 @ 《我师兄实在太稳健了》	那张面容诡异地化作了一张白净无须的面容， (~無鬚<COO>a:白净 m:一+q:张+a:白净+z:无须+u:的+n:面容) (~白淨無鬚<ATT>n:面容 a:白净无须) (~無鬚<COO>a:白净 ~無鬚<role.type:A0>面容 a:白净+v:无须)
白净无须	白淨無鬚
// 《我在幕后调教大佬》	有角无须的赤色龙头出现， (~鬚<VOB>v:无 v:有+n:角+v:无+n:须+u:的+n:赤色+n:龙头+v:出现+wp:，)
有角无须	有角無鬚
// 解析錯誤 @ 《大奉打更人》	以及无发无须无眉的度难金刚。 (c:以及+i:无发+v:无须无眉+u:的+n:度难金刚)
无发无须	無髮無鬚
// 解析錯誤 @ 《烂柯棋缘》	无须无髻， (v:无+n:须+v:无+n:髻) (d:无须+v:无+n:髻)
无须无髻	無鬚無髻
// 解析錯誤 @ 《我在幕后调教大佬》	须鳞爪牙，真实无比， (d:须鳞爪牙)
须鳞爪牙	鬚鱗爪牙
// 北京土话，完整，整个身子的意思。过去形容蛐蛐，多用于形容某人的身体健康。
// 解析錯誤 @ 《超神机械师》	流民每次去狩猎，都能全须全尾带着猎物回来， (d:全+v:须+n:全尾) (d:全+v:须+a:全+n:尾)	你还能像现在这样全须全尾站在这里？ (i:全+n:须全尾) (d:全+d:须+a:全+n:尾)
// 解析錯誤 @ 《大奉打更人》	她们本可以全须全尾的离开。 (r:她们+d:本+v:可以+d:全+v:须全+n:尾+u:的+v:离开) (v:可以+d:全+v:须+a:全尾+u:的) (v:可以+d:全+v:须+n:全+n:尾+u:的)	也是全须全尾， (d:也+v:是+d:全须+a:全+n:尾)
全须全尾	全鬚全尾
// 解析錯誤 @ 《第一序列》	那血色苍龙怒发须张， (n:血色+n:苍龙+n:怒发+d:须+v:张)
怒发须张	怒髮鬚張


